,class,k,accuracy,precision,recall
365,DeskPhone,5,0.9894845360824744,0.041666666666666664,0.0125
366,Door,5,0.98117477823064,0.27906976744186046,0.03893996755002705
367,Drum,5,0.9903852414541506,0.14035087719298245,0.0443213296398892
368,Fish,5,0.9909278350515465,0.33333333333333337,0.09999999999999999
369,FloorLamp,5,0.9865139366170289,0.024691358024691357,0.0054869684499314125
370,Glasses,5,0.9897319587628866,0.09166666666666665,0.027499999999999997
371,Guitar,5,0.9895670103092782,0.05833333333333333,0.017499999999999998
372,Gun,5,0.9746320654105938,0.2068965517241379,0.021403091557669434
373,Hand,5,0.9838952354416272,0.3288288288288288,0.0533235938641344
374,Hat,5,0.9918350515463918,0.1,0.04
375,Helicopter,5,0.9779017586416008,0.284313725490196,0.03344867358708189
376,House,5,0.9792439862542957,0.05555555555555555,0.007407407407407407
377,HumanHead,5,0.9778532443905392,0.27450980392156854,0.03229527104959631
378,Humanoid,5,0.9414723391897779,0.5058685446009389,0.021374727236659417
379,Insect,5,0.9715463917525771,0.25,0.02272727272727272
380,Jet,5,0.9416249729651794,0.62004662004662,0.026015942099858184
381,Knife,5,0.9886680412371132,0.2933333333333333,0.0704
382,MilitaryVehicle,5,0.9902268041237114,0.19166666666666665,0.057499999999999996
383,Monitor,5,0.9895670103092782,0.05833333333333333,0.017499999999999998
384,Monoplane,5,0.9898144329896906,0.10833333333333332,0.032499999999999994
385,Motorcycle,5,0.9884853291038856,0.33974358974358976,0.07840236686390534
386,Mug,5,0.987942268041237,0.14666666666666664,0.0352
387,MultiSeat,5,0.9801603665521192,0.24074074074074076,0.03209876543209876
388,Musical_Instrument,5,0.9890623465881202,0.03968253968253968,0.011337868480725623
389,NonWheelChair,5,0.9759550140581068,0.2242424242424242,0.024462809917355367
390,PianoBoard,5,0.9919045035268582,0.4473684210526316,0.1412742382271468
391,PlantIndoors,5,0.9714068199841398,0.1384615384615384,0.012781065088757385
392,PlantWildNonTree,5,0.9866055746468114,0.043209876543209874,0.009602194787379972
393,Quadruped,5,0.9747151383613674,0.14035087719298245,0.014773776546629735
394,RectangleTable,5,0.9750479291011032,0.20760233918128654,0.021852877808556485
